Timestamp,TotalValueUSD,Details
2025-12-17T09:40:20.474449,522.0326234564895,"{""LUNC/USD"": 149.8409286884895, ""XTZ/USD"": 372.191694768}"
2025-12-17T09:46:02.342282,517.1645499192256,"{""LUNC/USD"": 148.2163557592256, ""XTZ/USD"": 368.94819416}"
2025-12-17T09:51:45.097917,512.0012593268033,"{""LUNC/USD"": 145.4856906228033, ""XTZ/USD"": 366.515568704}"
2025-12-17T09:57:27.172329,513.3306152009088,"{""LUNC/USD"": 146.0041713449088, ""XTZ/USD"": 367.32644385599997}"
2025-12-17T10:03:10.613607,515.0588842745938,"{""LUNC/USD"": 147.7324404185938, ""XTZ/USD"": 367.32644385599997}"
2025-12-17T10:08:55.396399,516.2528012480684,"{""LUNC/USD"": 149.7372325440684, ""XTZ/USD"": 366.515568704}"
2025-12-17T10:14:36.156321,514.7160530851206,"{""LUNC/USD"": 149.0113595331207, ""XTZ/USD"": 365.704693552}"
2025-12-17T10:16:57.311782,514.2052949882791,"{""USD"": 0.0049, ""LUNC/USD"": 150.1174517402791, ""XTZ/USD"": 364.082943248}"
2025-12-17T10:18:22.146874,500.0,"{""USD"": 500.0}"
2025-12-17T10:20:18.833618,509.93580431417297,"{""LUNC/USD"": 148.285486522173, ""XTZ/USD"": 361.650317792}"
2025-12-17T10:26:00.655962,510.23102136933136,"{""LUNC/USD"": 149.3915787293314, ""XTZ/USD"": 360.83944263999996}"
2025-12-17T10:28:30.913711,500.0,"{""USD"": 500.0}"
2025-12-17T10:31:41.012987,506.89687336975123,"{""LUNC/USD"": 146.8683058817513, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T10:37:23.879007,507.98427157354087,"{""LUNC/USD"": 147.1448289335409, ""XTZ/USD"": 360.83944263999996}"
2025-12-17T10:43:06.547807,506.34382726617207,"{""LUNC/USD"": 146.3152597781721, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T10:48:48.066597,508.5373176771201,"{""LUNC/USD"": 147.6978750371201, ""XTZ/USD"": 360.83944263999996}"
2025-12-17T10:54:29.475593,507.861881425751,"{""LUNC/USD"": 146.21156363375098, ""XTZ/USD"": 361.650317792}"
2025-12-17T11:00:12.317787,507.53492161438277,"{""LUNC/USD"": 146.6954789743828, ""XTZ/USD"": 360.83944263999996}"
2025-12-17T11:05:55.454322,505.32555982532983,"{""LUNC/USD"": 146.1078674893299, ""XTZ/USD"": 359.21769233599997}"
2025-12-17T11:07:02.855189,500.0,"{""USD"": 500.0}"
2025-12-17T11:11:40.984547,506.55121955501426,"{""LUNC/USD"": 146.5226520670143, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T11:17:23.364414,505.7057790215406,"{""LUNC/USD"": 146.4880866855406, ""XTZ/USD"": 359.21769233599997}"
2025-12-17T11:20:36.121159,500.0,"{""USD"": 500.0}"
2025-12-17T11:23:06.140250,505.0275201449076,"{""LUNC/USD"": 143.3772023529076, ""XTZ/USD"": 361.650317792}"
2025-12-17T11:25:53.817878,500.0,"{""USD"": 500.0}"
2025-12-17T11:28:48.440097,507.4975336076452,"{""LUNC/USD"": 145.03634066364518, ""XTZ/USD"": 362.461192944}"
2025-12-17T11:30:22.984653,500.0,"{""USD"": 500.0}"
2025-12-17T11:34:31.272893,505.4581761006969,"{""LUNC/USD"": 142.9969831566969, ""XTZ/USD"": 362.461192944}"
2025-12-17T11:40:19.771834,504.87056461564396,"{""LUNC/USD"": 142.40937167164398, ""XTZ/USD"": 362.461192944}"
2025-12-17T11:46:04.881311,502.450987912485,"{""LUNC/USD"": 139.989794968485, ""XTZ/USD"": 362.461192944}"
2025-12-17T11:51:47.860169,499.8109701676427,"{""LUNC/USD"": 139.7824026796428, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T11:57:30.156804,499.93336031543265,"{""LUNC/USD"": 140.7156679794327, ""XTZ/USD"": 359.21769233599997}"
2025-12-17T12:03:12.003765,501.0898892821697,"{""LUNC/USD"": 141.0613217941697, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T12:08:55.125729,502.55750668216996,"{""LUNC/USD"": 141.71806404217, ""XTZ/USD"": 360.83944263999996}"
2025-12-17T12:14:40.674669,498.77400872343173,"{""LUNC/USD"": 138.7454412354318, ""XTZ/USD"": 360.02856748799996}"
2025-12-17T12:20:23.068274,499.17292192301124,"{""LUNC/USD"": 139.9552295870113, ""XTZ/USD"": 359.21769233599997}"
2025-12-17T19:10:31.899717,500.0,"{""USD"": 500.0}"
2025-12-17T19:16:37.755246,500.0,"{""USD"": 500.0}"
2025-12-17T19:22:35.752366,500.0,"{""USD"": 500.0}"
2025-12-17T20:55:35.082488,500.0,"{""USD"": 500.0}"
